"","ERR.43","ERR.42","ERR.45","ERR.44","ERR.46","ERR.47","ERR.19","ERR.18","ERR.21","ERR.20","ERR.22","ERR.23","ERR.145","ERR.144","ERR.147","ERR.146","ERR.148","ERR.149","ERR.121","ERR.120","ERR.123","ERR.122","ERR.124","ERR.125"
"model","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.05","0.1","0.15","0.2","0.4","0","0.05","0.1","0.15","0.2","0.4","0","0.05","0.1","0.15","0.2","0.4","0","0.05","0.1","0.15","0.2","0.4"
"M","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","I","I","I","I","I","I","I","I","I","I","I","I"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR"
"Tn1","0.753","0.456","0.215","0.055","-0.05","0.341","-1.017","-0.73","-0.167","0.52","1.107","2.561","1.071","0.866","0.711","0.685","0.618","1.008","-1.608","-1.354","-0.771","-0.162","0.501","1.776"
"Size1","0.044","0.048","0.074","0.132","0.234","0.564","0.038","0.048","0.062","0.092","0.136","0.408","0.05","0.06","0.086","0.146","0.234","0.596","0.032","0.04","0.066","0.108","0.148","0.404"
"Size2","0.05","0.052","0.116","0.238","0.358","0.834","0.054","0.054","0.09","0.154","0.264","0.652","0.05","0.068","0.116","0.222","0.366","0.836","0.05","0.058","0.084","0.164","0.278","0.632"
"Size3","0.05","0.064","0.15","0.368","0.658","1","0.05","0.056","0.128","0.25","0.454","0.982","0.056","0.074","0.154","0.408","0.682","0.998","0.048","0.064","0.124","0.252","0.474","0.986"
"Time1","49.245","50.226","49.683","49.821","49.522","49.359","91.312","91.736","92.093","93.156","92.89","93.286","0.358","0.353","0.329","0.312","0.306","0.302","0.7","0.689","0.548","0.399","0.384","0.372"
"Time2","98.433","100.418","99.322","99.605","98.959","98.629","182.541","183.613","184.204","186.243","185.863","186.504","0.693","0.666","0.647","0.621","0.598","0.594","1.365","1.336","1.093","0.796","0.757","0.727"
"Time3","77.834","78.664","78.454","78.336","78.159","77.788","139.297","139.893","140.423","141.403","140.765","141.259","0.518","0.507","0.479","0.465","0.464","0.417","0.843","0.809","0.695","0.492","0.473","0.444"
